continente,pais,ano,mes,chegadas
Africa,Africa do Sul,2015,agosto,3
Africa,Africa do Sul,2015,dezembro,17
Africa,Africa do Sul,2015,janeiro,2
Africa,Africa do Sul,2015,julho,2
Africa,Africa do Sul,2015,marco,3
Africa,Africa do Sul,2015,novembro,5
Africa,Africa do Sul,2015,outubro,6
Africa,Africa do Sul,2015,setembro,2
Africa,Africa do Sul,2016,abril,3
Africa,Africa do Sul,2016,agosto,5
Africa,Africa do Sul,2016,janeiro,4
Africa,Africa do Sul,2016,julho,6
Africa,Africa do Sul,2016,maio,2
Africa,Africa do Sul,2016,marco,2
Africa,Africa do Sul,2016,novembro,5
Africa,Africa do Sul,2016,outubro,5
Africa,Africa do Sul,2016,setembro,2
Africa,Africa do Sul,2017,abril,2
Africa,Africa do Sul,2017,agosto,1
Africa,Africa do Sul,2017,julho,1
Africa,Africa do Sul,2017,junho,2
Africa,Africa do Sul,2017,maio,5
Africa,Africa do Sul,2017,outubro,3
Africa,Africa do Sul,2017,setembro,1
Africa,Africa do Sul,2018,abril,9
Africa,Africa do Sul,2018,janeiro,8
Africa,Africa do Sul,2018,maio,3
Africa,Africa do Sul,2018,novembro,4
Africa,Africa do Sul,2018,outubro,9
Africa,Africa do Sul,2018,setembro,1
Africa,Africa do Sul,2019,abril,3
Africa,Africa do Sul,2019,agosto,1
Africa,Africa do Sul,2019,dezembro,2
Africa,Africa do Sul,2019,fevereiro,9
Africa,Africa do Sul,2019,junho,5
Africa,Africa do Sul,2019,maio,2
Africa,Africa do Sul,2019,marco,1
Africa,Africa do Sul,2019,novembro,1
Africa,Africa do Sul,2019,outubro,5
Africa,Africa do Sul,2019,setembro,4
Africa,Africa do Sul,2020,fevereiro,1
Africa,Africa do Sul,2020,janeiro,3
Africa,Africa do Sul,2020,outubro,2
Africa,Africa do Sul,2021,julho,1
Africa,Africa do Sul,2021,outubro,2
Africa,Africa do Sul,2021,setembro,1
Africa,Africa do Sul,2022,agosto,2
Africa,Africa do Sul,2022,dezembro,2
Africa,Africa do Sul,2022,junho,5
Africa,Africa do Sul,2022,novembro,2
Africa,Africa do Sul,2022,outubro,1
Africa,Africa do Sul,2022,setembro,1
Africa,Africa do Sul,2022,marco,1
Africa,Africa do Sul,2023,abril,3
Africa,Africa do Sul,2023,agosto,2
Africa,Africa do Sul,2023,dezembro,7
Africa,Africa do Sul,2023,julho,4
Africa,Africa do Sul,2023,junho,4
Africa,Africa do Sul,2023,maio,3
Africa,Africa do Sul,2023,novembro,2
Africa,Africa do Sul,2023,outubro,2
Africa,Africa do Sul,2023,setembro,3
Africa,Africa do Sul,2024,abril,1
Africa,Africa do Sul,2024,agosto,7
Africa,Africa do Sul,2024,dezembro,13
Africa,Africa do Sul,2024,fevereiro,6
Africa,Africa do Sul,2024,julho,2
Africa,Africa do Sul,2024,maio,3
Africa,Africa do Sul,2024,marco,16
Africa,Africa do Sul,2024,novembro,12
Africa,Africa do Sul,2024,outubro,5
Africa,Africa do Sul,2024,setembro,5
Africa,Angola,2015,abril,2
Africa,Angola,2015,dezembro,2
Africa,Angola,2015,fevereiro,2
Africa,Angola,2015,janeiro,3
Africa,Angola,2015,junho,10
Africa,Angola,2015,setembro,2
Africa,Angola,2016,dezembro,2
Africa,Angola,2016,janeiro,2
Africa,Angola,2016,julho,3
Africa,Angola,2016,setembro,6
Africa,Angola,2017,abril,1
Africa,Angola,2017,dezembro,2
Africa,Angola,2017,fevereiro,1
Africa,Angola,2017,julho,2
Africa,Angola,2017,novembro,2
Africa,Angola,2017,outubro,1
Africa,Angola,2018,abril,1
Africa,Angola,2018,agosto,7
Africa,Angola,2018,dezembro,1
Africa,Angola,2018,fevereiro,1
Africa,Angola,2018,janeiro,3
Africa,Angola,2018,julho,3
Africa,Angola,2018,novembro,1
Africa,Angola,2018,setembro,1
Africa,Angola,2019,abril,1
Africa,Angola,2019,julho,2
Africa,Angola,2019,junho,1
Africa,Angola,2019,novembro,1
Africa,Angola,2020,dezembro,1
Africa,Angola,2020,fevereiro,2
Africa,Angola,2020,janeiro,1
Africa,Angola,2021,agosto,1
Africa,Angola,2021,dezembro,2
Africa,Angola,2021,outubro,1
Africa,Angola,2022,dezembro,2
Africa,Angola,2022,fevereiro,2
Africa,Angola,2022,junho,2
Africa,Angola,2022,marco,1
Africa,Angola,2023,abril,2
Africa,Angola,2023,agosto,2
Africa,Angola,2023,dezembro,2
Africa,Angola,2023,janeiro,1
Africa,Angola,2023,marco,3
Africa,Angola,2023,novembro,3
Africa,Angola,2023,outubro,7
Africa,Angola,2024,abril,1
Africa,Angola,2024,agosto,1
Africa,Angola,2024,dezembro,1
Africa,Angola,2024,fevereiro,2
Africa,Angola,2024,novembro,1
Africa,Angola,2024,setembro,2
Africa,Cabo Verde,2015,abril,157
Africa,Cabo Verde,2015,agosto,148
Africa,Cabo Verde,2015,dezembro,38
Africa,Cabo Verde,2015,fevereiro,135
Africa,Cabo Verde,2015,janeiro,150
Africa,Cabo Verde,2015,julho,151
Africa,Cabo Verde,2015,junho,122
Africa,Cabo Verde,2015,maio,159
Africa,Cabo Verde,2015,marco,118
Africa,Cabo Verde,2015,novembro,147
Africa,Cabo Verde,2015,outubro,113
Africa,Cabo Verde,2015,setembro,115
Africa,Cabo Verde,2016,abril,135
Africa,Cabo Verde,2016,agosto,56
Africa,Cabo Verde,2016,dezembro,62
Africa,Cabo Verde,2016,fevereiro,151
Africa,Cabo Verde,2016,janeiro,35
Africa,Cabo Verde,2016,julho,114
Africa,Cabo Verde,2016,junho,95
Africa,Cabo Verde,2016,maio,119
Africa,Cabo Verde,2016,marco,91
Africa,Cabo Verde,2016,novembro,170
Africa,Cabo Verde,2016,outubro,102
Africa,Cabo Verde,2016,setembro,97
Africa,Cabo Verde,2017,abril,43
Africa,Cabo Verde,2017,agosto,92
Africa,Cabo Verde,2017,dezembro,118
Africa,Cabo Verde,2017,fevereiro,67
Africa,Cabo Verde,2017,janeiro,69
Africa,Cabo Verde,2017,julho,110
Africa,Cabo Verde,2017,junho,53
Africa,Cabo Verde,2017,maio,38
Africa,Cabo Verde,2017,marco,53
Africa,Cabo Verde,2017,novembro,120
Africa,Cabo Verde,2017,outubro,99
Africa,Cabo Verde,2017,setembro,68
Africa,Cabo Verde,2018,abril,99
Africa,Cabo Verde,2018,agosto,160
Africa,Cabo Verde,2018,dezembro,114
Africa,Cabo Verde,2018,fevereiro,61
Africa,Cabo Verde,2018,janeiro,81
Africa,Cabo Verde,2018,julho,59
Africa,Cabo Verde,2018,junho,93
Africa,Cabo Verde,2018,maio,121
Africa,Cabo Verde,2018,marco,129
Africa,Cabo Verde,2018,novembro,222
Africa,Cabo Verde,2018,outubro,173
Africa,Cabo Verde,2018,setembro,106
Africa,Cabo Verde,2019,abril,98
Africa,Cabo Verde,2019,agosto,93
